,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Period_cited_in_text,Level_context,Materials_notes,Class,Text2
149,109-041-X,7,03,51,-17.3,Intermediate III,Tools,Stone Cone,Dark grey slate; unpolished but smoothly finished. With its bevelled base this resembles some of the pottery cones. ,Artefacts,,,,Craft,Dark grey slate; unpolished but smoothly<br>finished. With its bevelled base this<br>resembles some of the pottery cones.<br>
150,109-002-X,7,09,29,-21.0,Early Periods,Cooking Baking Utensils,Cake-mould,"Pottery; light red in colour with a thick, cream slip. ",Artefacts,,,,Domestic,"Pottery; light red in colour with<br>a thick, cream slip. "
152,105-042-X,9,09,,-1.0,Late Ia,Cooking Baking Utensils,Shell Ornament,"Shell. It is possible that these lines were once with a slightly irregular, natural hole, in which, perhaps, a metal staple and ring were fitted to lift the cover made from this object and its fellow. ",Artefacts,,,,Domestic,"Shell. It is possible that these<br>lines were once with a slightly<br>irregular, natural hole, in which, perhaps,<br>a metal staple and ring were<br>fitted to lift the cover made<br>from this object and its fellow.<br>"
153,109-021-X,7,04,49,-20.0,Intermediate III,Tools,Pottery Cone,"Very hard baked pottery, pink pottery. Made on a wheel. Point missing. Spiral line of incised dots on the lower portion. ",Artefacts,,,,Craft,"Very hard baked pottery, pink pottery.<br>Made on a wheel. Point missing.<br>Spiral line of incised dots on<br>the lower portion. "
155,104-006-X,9,06,79,-6.7,Late II,Cooking Baking Utensils,Pottery of unkown use,"Well baked, pink pottery, containing mica and lime; no slip. The ring, carefully made by hand and showing no sign of wear, was slightly wraped in baking.",Artefacts,,,,Domestic,"Well baked, pink pottery, containing mica<br>and lime; no slip. The ring,<br>carefully made by hand and showing<br>no sign of wear, was slightly<br>wraped in baking."
158,108-018-X,7,04,50,-19.3,Intermediate III,Cooking Baking Utensils,Gutter,Brick. Possibly a number of these bricks were placed end to end to form a horizontal drain. ,Artefacts,,,,Domestic,Brick. Possibly a number of these<br>bricks were placed end to end<br>to form a horizontal drain. 
160,108-007-X,10,00,,-23.4,Early Periods,Cooking Baking Utensils,Door-socket,Is a half-brick in whcih a cavity shows much wear. ,Artefacts,,,,Domestic,Is a half-brick in whcih a<br>cavity shows much wear. 
162,104-015-X,9,06,32,-7.2,Late III,Cooking Baking Utensils,Pottery of unkown use,"An oval plaque of soft, white alabaster, less than a third of which is missing. It has a flat- V-shaped projection. The V-shaped ridge, whehter on the top or underneath of the plaque, was probably intended to slide in a corresponding groove, though it is neither tapered nor provided with a stop. ",Artefacts,,,,Domestic,"An oval plaque of soft, white<br>alabaster, less than a third of<br>which is missing. It has a<br>flat- V-shaped projection. The V-shaped ridge,<br>whehter on the top or underneath<br>of the plaque, was probably intended<br>to slide in a corresponding groove,<br>though it is neither tapered nor<br>provided with a stop. "
163,112-004-X,7,00,,-42.6,Early Periods,Cooking Baking Utensils,Triangular Plaque,"Pottery. Roughly baked. Carelessly made, and had been laid on chopped straw to dry before bakign, as shown by the imprints of the straw on one side. ",Artefacts,,,,Domestic,"Pottery. Roughly baked. Carelessly made, and<br>had been laid on chopped straw<br>to dry before bakign, as shown<br>by the imprints of the straw<br>on one side. "
164,104-017-X,9,06,32,-7.2,Late III,Cooking Baking Utensils,Pottery of unkown use,"An oval plaque of soft, white alabaster, less than a third of which is missing. It has a flat- V-shaped projection. The V-shaped ridge, whehter on the top or underneath of the plaque, was probably intended to slide in a corresponding groove, though it is neither tapered nor provided with a stop. ",Artefacts,,,,Domestic,"An oval plaque of soft, white<br>alabaster, less than a third of<br>which is missing. It has a<br>flat- V-shaped projection. The V-shaped ridge,<br>whehter on the top or underneath<br>of the plaque, was probably intended<br>to slide in a corresponding groove,<br>though it is neither tapered nor<br>provided with a stop. "
168,061-069-X,10,04,84,-12.5,Intermediate I,Pottery - Plain and Banded,,,Artefacts,,,,Domestic,Not Available
169,109-018-X,4,00,15,-20.4,[check data],Cooking Baking Utensils,Label,"Has a small hole in the lug for trying it on. The label is roughly made and has no slip, but the surface is sufficiently smooth for writing. ",Artefacts,,,,Domestic,"Has a small hole in the<br>lug for trying it on. The<br>label is roughly made and has<br>no slip, but the surface is<br>sufficiently smooth for writing. "
170,065-005-X,4,00,8,-12.4,Intermediate I,Pottery - Plain and Banded,,,Artefacts,,,,Domestic,Not Available
172,105-023-X,9,03,34,-5.2,Late II,Cooking Baking Utensils,Pottery of unkown use,"Made of pottery and possiblely used in weaving, which should not be confused with the pottery bullae illustrated elsewhere. Carefully made and coated with a cream slip.Small holes pricked in two rows at the wider end of wither face. Those of the upper row seen in the illustration completely penetrate teh object, but those of the lower row are blind. On the reverse, it is the holes of the upper row which are blind. ",Artefacts,,,,Domestic,"Made of pottery and possiblely used<br>in weaving, which should not be<br>confused with the pottery bullae illustrated<br>elsewhere. Carefully made and coated with<br>a cream slip.Small holes pricked in<br>two rows at the wider end<br>of wither face. Those of the<br>upper row seen in the illustration<br>completely penetrate teh object, but those<br>of the lower row are blind.<br>On the reverse, it is the<br>holes of the upper row which<br>are blind. "
177,109-012-X,7,08,22,-14.2,Intermediate II,Cooking Baking Utensils,Pottery hook,Pottery; cream slip.,Artefacts,,,,Domestic,Pottery; cream slip.
183,109-006-X,7,03,48,-14.8,Intermediate II,Cooking Baking Utensils,Ivory Baton,Well made and much polished by wear. Incised decoration beneath the head once filled in with black. ,Artefacts,,,,Domestic,Well made and much polished by<br>wear. Incised decoration beneath the head<br>once filled in with black. 
189,110-054-X,7,04,50,-17.2,Intermediate III,Personal Ornament,Hair-pin,Ivory. Lower part missing. Top of head decorated with simple incised cross-hatching. ,Artefacts,,,,Domestic,Ivory. Lower part missing. Top of<br>head decorated with simple incised cross-hatching.<br>
192,110-055-X,7,04,50,-17.2,Intermediate III,Personal Ornament,Hair-pin,Ivory. This object may once have been longer as the end of the shank appears to be broken. Decorated on the two broader faces only with incised curved lines. ,Artefacts,,,,Domestic,Ivory. This object may once have<br>been longer as the end of<br>the shank appears to be broken.<br>Decorated on the two broader faces<br>only with incised curved lines. 
195,109-031-X,7,00,,-13.7,Intermediate II,Cooking Baking Utensils,Tube,Made of a carefully cleaned-out bone. The outside is polished by much use. ,Artefacts,,,,Domestic,Made of a carefully cleaned-out bone.<br>The outside is polished by much<br>use. 
197,100-002-X,7,04,71,-18.2,Intermediate III,Personal Ornament,Hair-pin,Ivory. fining down to a good point. Much polished by use. ,Artefacts,,,,Domestic,Ivory. fining down to a good<br>point. Much polished by use. 
198,109-004-X,9,08,18,-12.9,Intermediate I,Cooking Baking Utensils,Ivory Roundel,The side of this roundel is cross-hatched with incised lines that were once filled in with black.,Artefacts,,,,Domestic,The side of this roundel is<br>cross-hatched with incised lines that were<br>once filled in with black.
199,142-079-X,9,03,35,-14.2,Intermediate II,Games And Toys,Whistle,"Pottery; with traces of a light red slip. Apparently a miniature jar whose rim had been rubbed down to enlarge the hole slightly. A second hole near the mouth was doubtless used as a stop, as in the above example. ",Artefacts,,,,Domestic,"Pottery; with traces of a light<br>red slip. Apparently a miniature jar<br>whose rim had been rubbed down<br>to enlarge the hole slightly. A<br>second hole near the mouth was<br>doubtless used as a stop, as<br>in the above example. "
200,140-021-X,9,10,85,-7.0,Late III,Games And Toys,"LIght grey pottery. Ornamented with parallel dark-red lines, those on one hemisphere at right angles to those on the other. ","Average diameter 1.4""",Artefacts,,,,Domestic,"Average diameter 1.4"""
202,142-081-X,9,07,17,-15.4,Intermediate II,Games And Toys,Light red pottery; no slip. Roughly decorated with red lines. Found together. ,Light red pottery; no slip. Roughly decorated with red lines. Found with No. 80 together,Artefacts,,,,Domestic,Light red pottery; no slip. Roughly<br>decorated with red lines. Found with<br>No. 80 together
211,081-005-X,7,04,72,-18.5,Intermediate III,Animals,Model animal,"Pottery; no slip. A figure with a bird-like head that in its curious shape resembles No. 9. On either side are short raised arms or wings. Two perforated projections behind, which have been broken off, suggest that this onject was swung on a rod. A small hole through the neck probably served to take a cord. The lower part of the body is missing. ",Artefacts,,,,Domestic,"Pottery; no slip. A figure with<br>a bird-like head that in its<br>curious shape resembles No. 9. On<br>either side are short raised arms<br>or wings. Two perforated projections behind,<br>which have been broken off, suggest<br>that this onject was swung on<br>a rod. A small hole through<br>the neck probably served to take<br>a cord. The lower part of<br>the body is missing. "
212,081-013-X,7,04,72,-16.3,Intermediate III,Animals,Model animal,"Pottery; no slip. Roughly made, hollow model of a bird with expanded tail and round pellet eyes. Two holes took an axle on which a pair of pottery wheels were fixed; the top was drawn along by a cord passed through a small perforation in the base of the head. ",Artefacts,,,,Domestic,"Pottery; no slip. Roughly made, hollow<br>model of a bird with expanded<br>tail and round pellet eyes. Two<br>holes took an axle on which<br>a pair of pottery wheels were<br>fixed; the top was drawn along<br>by a cord passed through a<br>small perforation in the base of<br>the head. "
213,140-019-X,9,12,94,-9.0,Late III,Games And Toys,Cubical Dice,"Reddish pottery; smoked-stained in places. Very roughly made, and badly out of shape. 1 opposite 3, 2 opposite 4, 5 opposite 6. The holes that indicate the numbers were made with a pointed stick. ",Artefacts,,,,Domestic,"Reddish pottery; smoked-stained in places. Very<br>roughly made, and badly out of<br>shape. 1 opposite 3, 2 opposite<br>4, 5 opposite 6. The holes<br>that indicate the numbers were made<br>with a pointed stick. "
215,109-015-X,7,08,19,-13.2,Intermediate II,Cooking Baking Utensils,Ivory Roundel,,Artefacts,,,,Domestic,Not Available
